"﻿""title""",totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,accessible,is_dynamic,emails_found,emails,check_status,scraped_content_length,ai_summary_status,business_type,services,owner_name,personalization_hooks,target_market,pain_points,ai_error
Greener Side Lawn Care,5,9,2615 W 17th,Plainview,Texas,US,https://www.facebook.com/brandonrowell91/,(541) 720-6629,Lawn care service,https://www.google.com/maps/search/?api=1&query=Greener%20Side%20Lawn%20Care&query_place_id=ChIJLX4Mu0TpAYcR7obzwIo42dU,No,No,0,,error_400,,skipped_not_accessible,,,,,,,
H & S Air Conditioning & Heating Systems,4.5,25,2008 N Hobart St,Pampa,Texas,US,,(806) 665-2637,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=H%20%26%20S%20Air%20Conditioning%20%26%20Heating%20Systems&query_place_id=ChIJOVdP9dU3B4cR78rOyQQfCZY,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Luke Lawn Care,4.7,15,4335 Boren Ave,Wichita Falls,Texas,US,https://m.facebook.com/profile.php?id=1028101820609680&ref=content_filter,(940) 730-3479,Lawn care service,https://www.google.com/maps/search/?api=1&query=Luke%20Lawn%20Care&query_place_id=ChIJi3BZ3awhU4YReVBQr7Tnphk,No,No,0,,error_400,,skipped_not_accessible,,,,,,,
High plains lawn care,2,2,4715 Eagle Ln,Amarillo,Texas,US,,(806) 410-7613,Lawn care service,https://www.google.com/maps/search/?api=1&query=High%20plains%20lawn%20care&query_place_id=ChIJ5VHGADpPAYcRwM7kW5qKeq8,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Grounds Works Lawn Care and Landscaping,,0,125 Jupiter St,Sheppard AFB,Texas,US,,(940) 882-0148,Lawn care service,https://www.google.com/maps/search/?api=1&query=Grounds%20Works%20Lawn%20Care%20and%20Landscaping&query_place_id=ChIJWXaLpxsnU4YRsCU3pAfk0Dc,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Gates Lawn & Landscaping LLC,,0,2313 Grant St,Wichita Falls,Texas,US,,(940) 224-5238,Lawn care service,https://www.google.com/maps/search/?api=1&query=Gates%20Lawn%20%26%20Landscaping%20LLC&query_place_id=ChIJxRn5J9shU4YRm2E_zOaIAWc,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
"TTL Lawncare - Lawn Service, Full-Service Complete Lawn Care, Landscaping and Lawn Maintenance",,0,,,,,,(940) 253-6152,Lawn care service,https://www.google.com/maps/search/?api=1&query=TTL%20Lawncare%20-%20Lawn%20Service%2C%20Full-Service%20Complete%20Lawn%20Care%2C%20Landscaping%20and%20Lawn%20Maintenance&query_place_id=ChIJ4SrPSXPErkIRInnaFjcrJrM,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Gamblin Lawn Services,5,9,402 N McMasters St,Amarillo,Texas,US,https://www.facebook.com/profile.php?id=100078119687685&mibextid=ZbWKwL,(806) 443-8519,Lawn care service,https://www.google.com/maps/search/?api=1&query=Gamblin%20Lawn%20Services&query_place_id=ChIJuZysb9RPAYcRJTQfRCt5xaI,No,No,0,,error_400,,skipped_not_accessible,,,,,,,
Perfect Cut Lawn Care,,0,,,,,https://www.perfectcutlawncaretx.com/,(806) 683-3833,Lawn care service,https://www.google.com/maps/search/?api=1&query=Perfect%20Cut%20Lawn%20Care&query_place_id=ChIJG5qR5Y8XmoYRO_NOYhtUf3U,No,No,0,,connection_error,,skipped_not_accessible,,,,,,,
"Alden Air Conditioning & Heating, Inc.",4.5,88,2232 Michigan Ave,Arlington,Texas,US,https://www.aldenair.com/,(817) 275-8861,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Alden%20Air%20Conditioning%20%26%20Heating%2C%20Inc.&query_place_id=ChIJOaLqh8d8ToYR-ZEXAqmQdjA,No,Yes,0,,dynamic,,skipped_not_accessible,,,,,,,
C&G's heating and cooling,5,21,2918 Mesquite St,Vernon,Texas,US,https://candgheatingandcooling.my.canva.site/,(940) 261-1329,Heating equipment supplier,https://www.google.com/maps/search/?api=1&query=C%26G's%20heating%20and%20cooling&query_place_id=ChIJ4979MfQvq4cRa2WbzzZ6ITY,No,Yes,0,,dynamic,,skipped_not_accessible,,,,,,,
"Avalos Heating & Air, LLC",5,186,3225 N Loop 335 W,Amarillo,Texas,US,https://www.avalosac.com/,(806) 367-8010,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Avalos%20Heating%20%26%20Air%2C%20LLC&query_place_id=ChIJ932kLmhPAYcRyPXWQD1gzqU,No,No,0,,error_403,,skipped_not_accessible,,,,,,,
Adam's Air,4.8,136,1914 N Forest St,Amarillo,Texas,US,https://adamsairamarillo.com/,(806) 316-1103,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Adam's%20Air&query_place_id=ChIJKxSVu3xFAYcRmRZy8KjlfFY,No,No,0,,error_403,,skipped_not_accessible,,,,,,,
Comfort Masters Heating & Air Conditioning,4.9,1083,6657 Corporation Pkwy #250,Fort Worth,Texas,US,https://comfortmastersdfw.com/?utm_source=google&utm_medium=gmb&utm_campaign=GMB%20Fort%20Worth,(817) 500-5354,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Comfort%20Masters%20Heating%20%26%20Air%20Conditioning&query_place_id=ChIJnbdH_D0MToYR0QQ6q_qVbFI,No,No,0,,error_403,,skipped_not_accessible,,,,,,,
Secret Gardener Landscape,4.4,8,1850 W McCormick Rd,Amarillo,Texas,US,https://secretgardenerlandscape.com/,(806) 373-5900,Landscaper,https://www.google.com/maps/search/?api=1&query=Secret%20Gardener%20Landscape&query_place_id=ChIJVWTgAJ1EAYcRjZN0cw3by28,No,No,0,,timeout,,skipped_not_accessible,,,,,,,
On Time Experts (fka Dring Air Conditioning & Heating),4.9,1145,2440 Lacy Ln Suite 110,Carrollton,Texas,US,https://www.theontimeexperts.com/dring/?utm_source=google&utm_medium=organic&utm_campaign=gbp_dring,(972) 241-1312,HVAC contractor,https://www.google.com/maps/search/?api=1&query=On%20Time%20Experts%20(fka%20Dring%20Air%20Conditioning%20%26%20Heating)&query_place_id=ChIJnfnsXismTIYRQCD_aL5ZjYo,No,No,0,,error_403,,skipped_not_accessible,,,,,,,
Wichita Falls Heating & Cooling Conditioning,5,4,1026 E Fort Worth St,Wichita Falls,Texas,US,,(940) 281-0710,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=Wichita%20Falls%20Heating%20%26%20Cooling%20Conditioning&query_place_id=ChIJNYF9peLPUoYRz9tCgwFZWdY,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Amarillo Heating & Cooling Services,4.8,44,2904 Jewell Ave,Amarillo,Texas,US,,(806) 436-8082,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=Amarillo%20Heating%20%26%20Cooling%20Services&query_place_id=ChIJCVe7J7FaAYcRKoLvIXo7Z2w,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Shawn's Heating and Air,4.2,21,901 Aztec Dr #2905,Burkburnett,Texas,US,,(940) 636-1776,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=Shawn's%20Heating%20and%20Air&query_place_id=ChIJN0E7JdUuU4YRIOtjLxyK2H8,No,No,0,,no_url,,skipped_not_accessible,,,,,,,
Walker Heating & Cooling,4.8,328,15463 State Hwy 64,Tyler,Texas,US,https://walkercooling.com/,(903) 595-1200,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=Walker%20Heating%20%26%20Cooling&query_place_id=ChIJ05rP9U-2SYYR1zTAzZVp4ZY,No,No,0,,error_403,,skipped_not_accessible,,,,,,,
Unlimited Air Conditioning and Heating,4.8,243,822 Woodlawn Ave,Dallas,Texas,US,https://www.unlimitedairandheating.com/,(945) 998-7066,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Unlimited%20Air%20Conditioning%20and%20Heating&query_place_id=ChIJ88N3WYGZToYRrHFcYegd620,No,No,0,,connection_error,,skipped_not_accessible,,,,,,,
Oak Point Heating And Air LLC,4.7,161,3447 Farm to Market Rd 720 #11,Little Elm,Texas,US,https://www.oakpointhvac.com/,(469) 698-4637,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Oak%20Point%20Heating%20And%20Air%20LLC&query_place_id=ChIJ___PCuXKTYYRjuwZB8kuc4k,No,No,0,,timeout,,skipped_not_accessible,,,,,,,
